,index,num_series
2400,84124,24
2401,85043,24
2402,76001,24
2403,85392,24
2404,45248,24
2405,79935,24
2406,93552,24
2407,95356,24
2408,34110,24
2409,44432,24
2410,84321,23
2411,43055,23
2412,14214,23
2413,5450,23
2414,93306,23
2415,79762,23
2416,91324,23
2417,48209,23
2418,95121,23
2419,45240,23
2420,98303,23
2421,10708,23
2422,89434,23
2423,98037,23
2424,90057,23
2425,95132,23
2426,14722,23
2427,43107,23
2428,76201,23
2429,85353,23
2430,77060,23
2431,92119,23
2432,93455,23
2433,77489,23
2434,84129,23
2435,2125,23
2436,98391,23
2437,98465,23
2438,02108,23
2439,30605,23
2440,93737,23
2441,63110,23
2442,31632,23
2443,94306,22
2444,19126,22
2445,92591,22
2446,18505,22
2447,14609,22
2448,95126,22
2449,98467,22
2450,89501,22
2451,45236,22
2452,30346,22
2453,77013,22
2454,89032,22
2455,98366,22
2456,37407,22
2457,45229,22
2458,04957,22
2459,92404,22
2460,85033,22
2461,43056,22
2462,65807,22
2463,20770,22
2464,62704,22
2465,34291,22
2466,77703,22
2467,60540,22
2468,95124,22
2469,31204,22
2470,95128,22
2471,02114,22
2472,80634,22
2473,48906,22
2474,20004,22
2475,43112,22
2476,24370,22
2477,45216,22
2478,75025,22
2479,2129,22
2480,90064,21
2481,14226,21
2482,63139,21
2483,30739,21
2484,91203,21
2485,30752,21
2486,05491,21
2487,30738,21
2488,05445,21
2489,17403,21
2490,91387,21
2491,80020,21
2492,14227,21
2493,48211,21
2494,33009,21
2495,14216,21
2496,79416,21
2497,48091,21
2498,92014,21
2499,20782,21
2500,91204,21
2501,95119,21
2502,95404,21
2503,94610,21
2504,22180,21
2505,75237,21
2506,48216,21
2507,16508,21
2508,94102,21
2509,10451,21
2510,10037,21
2511,14210,21
2512,90240,21
2513,76012,21
2514,97306,21
2515,44052,21
2516,34241,21
2517,02122,21
2518,92337,21
2519,1109,21
2520,45225,21
2521,91752,21
2522,5401,21
2523,96002,20
2524,61822,20
2525,13224,20
2526,78541,20
2527,91767,20
2528,81501,20
2529,10044,20
2530,10018,20
2531,19137,20
2532,43102,20
2533,78418,20
2534,48603,20
2535,60505,20
2536,37350,20
2537,02136,20
2538,80010,20
2539,02132,20
2540,94014,20
2541,98372,20
2542,90241,20
2543,95694,20
2544,11104,20
2545,13501,20
2546,78566,20
2547,14201,20
2548,91207,20
2549,90710,20
2550,14212,20
2551,94089,20
2552,75104,20
2553,30507,20
2554,27040,20
2555,75056,20
2556,18104,20
2557,43614,20
2558,31216,20
2559,94509,20
2560,02115,20
2561,46113,19
2562,80005,19
2563,2111,19
2564,33417,19
2565,17104,19
2566,93701,19
2567,20901,19
2568,5474,19
2569,85035,19
2570,91350,19
2571,61107,19
2572,80019,19
2573,95340,19
2574,85019,19
2575,34232,19
2576,31401,19
2577,76657,19
2578,02125,19
2579,46214,19
2580,31909,19
2581,65803,19
2582,14613,19
2583,98275,19
2584,85021,19
2585,89081,19
2586,31210,19
2587,37402,19
2588,79905,19
2589,91766,19
2590,14782,19
2591,37143,19
2592,14712,19
2593,12936,19
2594,92139,19
2595,45402,19
2596,85339,19
2597,76017,19
2598,20895,19
2599,85027,19
2600,92557,19
2601,91739,19
2602,98043,19
2603,90501,19
2604,13219,19
2605,48849,19
2606,92124,19
2607,7004,19
2608,95209,19
2609,92376,19
2610,48218,19
2611,28720,19
2612,89074,19
2613,31405,19
2614,76016,19
2615,77708,19
2616,20785,18
2617,34240,18
2618,45417,18
2619,91030,18
2620,10704,18
2621,47404,18
2622,2119,18
2623,99204,18
2624,77598,18
2625,5468,18
2626,60502,18
2627,24641,18
2628,97218,18
2629,60563,18
2630,2122,18
2631,34235,18
2632,91803,18
2633,78414,18
2634,10470,18
2635,75074,18
2636,92071,18
2637,77050,18
2638,98424,18
2639,92840,18
2640,45217,18
2641,95827,18
2642,92021,18
2643,75704,18
2644,24230,18
2645,93313,18
2646,24224,18
2647,20735,18
2648,92555,18
2649,22304,18
2650,30904,18
2651,95207,18
2652,76704,18
2653,97501,18
2654,89030,18
2655,78410,18
2656,18504,18
2657,95407,18
2658,43136,18
2659,48503,18
2660,91506,17
2661,95206,17
2662,62702,17
2663,48104,17
2664,76002,17
2665,95928,17
2666,14787,17
2667,80526,17
2668,37665,17
2669,90211,17
2670,95348,17
2671,2108,17
2672,97707,17
2673,60603,17
2674,14619,17
2675,30909,17
2676,63115,17
2677,91791,17
2678,92081,17
2679,78660,17
2680,27545,17
2681,47714,17
2682,98388,17
2683,93905,17
2684,97402,17
2685,95814,17
2686,65201,17
2687,93534,17
2688,13209,17
2689,97304,17
2690,45246,17
2691,43148,17
2692,22207,17
2693,76013,17
2694,92882,17
2695,14070,17
2696,94132,17
2697,93003,17
2698,90505,17
2699,94553,17
2700,95219,17
2701,2745,17
2702,77338,17
2703,13416,17
2704,81506,17
2705,93036,17
2706,2131,16
2707,91107,16
2708,94705,16
2709,14218,16
2710,91764,16
2711,80918,16
2712,64055,16
2713,90803,16
2714,93304,16
2715,78412,16
2716,94801,16
2717,75709,16
2718,02210,16
2719,5482,16
2720,20784,16
2721,80920,16
2722,02135,16
2723,33578,16
2724,77547,16
2725,30504,16
2726,46814,16
2727,95355,16
2728,43764,16
2729,44306,16
2730,28034,16
2731,84606,16
2732,2115,16
2733,75706,16
2734,95060,16
2735,37902,16
2736,20774,16
2737,92243,16
2738,48217,16
2739,91910,16
2740,61103,16
2741,02119,16
2742,64052,16
2743,91351,16
2744,95382,16
2745,64050,16
2746,90805,16
2747,48911,16
2748,92543,16
2749,5656,16
2750,91108,16
2751,47711,16
2752,81007,16
2753,79121,15
2754,92508,15
2755,80302,15
2756,65804,15
2757,91737,15
2758,91354,15
2759,76040,15
2760,16504,15
2761,46516,15
2762,49424,15
2763,79835,15
2764,95118,15
2765,1604,15
2766,92025,15
2767,02121,15
2768,61820,15
2769,29708,15
2770,05482,15
2771,48876,15
2772,2601,15
2773,94520,15
2774,95757,15
2775,43154,15
2776,10710,15
2777,90061,15
2778,95811,15
2779,80304,15
2780,5464,15
2781,46628,15
2782,90802,15
2783,1108,15
2784,61603,15
2785,91362,15
2786,91755,15
2787,84013,15
2788,98402,15
2789,22202,15
2790,94804,15
2791,20740,15
2792,93955,15
2793,94544,15
2794,75150,15
2795,98443,15
2796,31903,15
2797,85053,15
2798,95351,15
2799,79413,15
2800,80122,15
2801,79903,15
2802,60602,15
2803,61821,15
2804,61102,15
2805,38105,14
2806,78009,14
2807,44055,14
2808,98077,14
2809,60431,14
2810,1453,14
2811,80013,14
2812,84729,14
2813,94303,14
2814,48912,14
2815,44708,14
2816,10455,14
2817,92507,14
2818,20783,14
2819,47905,14
2820,31620,14
2821,92504,14
2822,46224,14
2823,49021,14
2824,77702,14
2825,20737,14
2826,45406,14
2827,95020,14
2828,48312,14
2829,48638,14
2830,89002,14
2831,80018,14
2832,80004,14
2833,94521,14
2834,15201,14
2835,78578,14
2836,89012,14
2837,49423,14
2838,95993,14
2839,22031,14
2840,78653,14
2841,91303,14
2842,16502,14
2843,61108,14
2844,77831,14
2845,80906,14
2846,33782,14
2847,22302,14
2848,75067,14
2849,28016,14
2850,44509,14
2851,2136,14
2852,30725,14
2853,31906,14
2854,45410,14
2855,17110,14
2856,91730,14
2857,64114,14
2858,94127,14
2859,10452,14
2860,89014,14
2861,92405,14
2862,43760,14
2863,44314,13
2864,94558,13
2865,14710,13
2866,93611,13
2867,43730,13
2868,34289,13
2869,97124,13
2870,46845,13
2871,5461,13
2872,17401,13
2873,85017,13
2874,48602,13
2875,63101,13
2876,14621,13
2877,92843,13
2878,30742,13
2879,20902,13
2880,92833,13
2881,48310,13
2882,61114,13
2883,19606,13
2884,63113,13
2885,28590,13
2886,91915,13
2887,85013,13
2888,14136,13
2889,97305,13
2890,22041,13
2891,95380,13
2892,14223,13
2893,79603,13
2894,89161,13
2895,94108,13
2896,79761,13
2897,19153,13
2898,46614,13
2899,13406,13
2900,94612,13
2901,75036,13
2902,13211,13
2903,93277,13
2904,92506,13
2905,80003,13
2906,76005,13
2907,50441,13
2908,91911,13
2909,97080,13
2910,76006,12
2911,78669,12
2912,49503,12
2913,43731,12
2914,24211,12
2915,47403,12
2916,76513,12
2917,16510,12
2918,94618,12
2919,92083,12
